variable_name,readable_name,definition,description,type,units,allowed_values,value_labels,missing_values,source_or_origin,derivation_or_transformation,validation_rules,notes,review_status
pre_number_rapids_v2,Prior rapid responses attended,Estimated number of rapid responses or MET calls attended as an intern,Prior exposure count,numeric,count,non-negative numeric,,blank,Pre-course survey,None,non-negative numeric,Small-cell educational exposure data,reviewed
pre_leading_v2,Prior events led,Number of rapid responses or Code Blues led as an intern,Prior leadership exposure count,numeric,count,non-negative numeric,,blank,Pre-course survey,None,non-negative numeric,Small-cell educational exposure data,reviewed
pre_sims_v2,Prior simulations led or attended,Number of simulated Code Blue or Rapid Response events in training,Prior simulation exposure count,numeric,count,non-negative numeric,,blank,Pre-course survey,None,non-negative numeric,Small-cell educational exposure data,reviewed
pre_interpret_v2,Prior urgent rhythm decision involvement,Prior involvement in urgent cardioversion decision,Indicates whether learner had been involved in deciding to urgently or emergently cardiovert a patient,categorical,,0|1,0 = No | 1 = Yes,blank,Pre-course survey,None,must be 0 or 1,Verify REDCap coding before reuse,needs_review
pre_rhythm_v2,Pre pulse-check rhythm answer,Answer to two-minute pulse-check rhythm item,Knowledge/check item for rhythm interpretation,categorical,,,item-specific labels,blank,Pre-course survey,None,must match REDCap instrument options,Restricted item-level answer; do not publish row-level,needs_review
pre_resources_v2,Pre escalation resource answer,Answer to flash pulmonary edema resource/escalation item,Knowledge/check item for rapid response resource escalation,categorical,,,item-specific labels,blank,Pre-course survey,None,must match REDCap instrument options,Restricted item-level answer; do not publish row-level,needs_review
pre_ptsd_v2___1,Family presence choice increase ROSC,Checkbox for family presence item choice increase ROSC rate,Knowledge/check checkbox,categorical,,0|1,0 = Unchecked | 1 = Checked,blank,Pre-course survey,None,must be 0 or 1,Restricted item-level answer,needs_review
pre_ptsd_v2___2,Family presence choice decrease ROSC,Checkbox for family presence item choice decrease ROSC rate,Knowledge/check checkbox,categorical,,0|1,0 = Unchecked | 1 = Checked,blank,Pre-course survey,None,must be 0 or 1,Restricted item-level answer,needs_review
pre_ptsd_v2___3,Family presence choice increase PTSD,Checkbox for family presence item choice increase PTSD in family,Knowledge/check checkbox,categorical,,0|1,0 = Unchecked | 1 = Checked,blank,Pre-course survey,None,must be 0 or 1,Restricted item-level answer,needs_review
pre_ptsd_v2___4,Family presence choice decrease PTSD,Checkbox for family presence item choice decrease PTSD in family,Knowledge/check checkbox,categorical,,0|1,0 = Unchecked | 1 = Checked,blank,Pre-course survey,None,must be 0 or 1,Restricted item-level answer,needs_review
presurvey_2_complete,Pre-survey complete flag,REDCap completion flag,Completion status for pre-course survey,categorical,,0|1|2,0 = Incomplete | 1 = Unverified | 2 = Complete,blank,REDCap export,None,must be one of 0,1,2,Verify REDCap completion coding,needs_review
postsurvey_2_timestamp,Post-survey timestamp,Timestamp for post-survey submission,Date-time captured by REDCap for post-course survey completion,datetime,,ISO-like date-time,,blank,REDCap export,None,valid date-time or blank,Restricted timing metadata,reviewed
con_code_post_v2_1ae769,Post code confidence,Post-course confidence leading in-hospital cardiac arrest care,Self-rated confidence after course,integer,1-10,1-10,1 = almost never | 5 = sometimes | 10 = almost always,blank,Post-course survey,None,integer 1-10,Restricted row-level response,reviewed
con_rapid_post_v2_2b1eb4,Post rapid response confidence,Post-course confidence leading rapid response or MET care,Self-rated confidence after course,integer,1-10,1-10,1 = almost never | 5 = sometimes | 10 = almost always,blank,Post-course survey,None,integer 1-10,Restricted row-level response,reviewed
post_con_shock_2,Post rhythm/shock confidence,Post-course confidence interpreting rhythm strip and selecting cardioversion/defibrillation or related response,Self-rated rhythm interpretation and shock/no-shock confidence after course,integer,1-10,1-10,1 = almost never | 5 = sometimes | 10 = almost always,blank,Post-course survey,None,integer 1-10,Restricted row-level response,reviewed
nerves_code_post_v2_38c320,Post team-dynamics concern,Expected frequency of team-dynamics problems after course,Self-rated anticipated team-dynamics difficulty after course,integer,1-10,1-10,1 = almost never | 5 = sometimes | 10 = almost always,blank,Post-course survey,None,integer 1-10,Restricted row-level response; direction should be handled carefully,reviewed
post_call_2,Post attending call likelihood,Likelihood of calling attending to rapid response after course,Self-rated likelihood after course,integer,1-10,1-10,1 = almost never | 5 = sometimes | 10 = almost always,blank,Post-course survey,None,integer 1-10,Restricted row-level response,reviewed
post_cases_soft,Case usefulness rating,Helpfulness of cases for leadership and management concepts,Post-course course-evaluation item,integer,1-10,1-10,1 = least helpful | 10 = most helpful,blank,Post-course survey,None,integer 1-10,Verify exact anchors in current REDCap instrument,needs_review
post_cases_rhythm,Module usefulness rating,Helpfulness of modules for leadership and management concepts,Post-course course-evaluation item,integer,1-10,1-10,1 = least helpful | 10 = most helpful,blank,Post-course survey,None,integer 1-10,Variable name may not fully match item wording,needs_review
post_cases_discuss,Discussion usefulness rating,Helpfulness of informal discussion for leadership and management concepts,Post-course course-evaluation item,integer,1-10,1-10,1 = least helpful | 10 = most helpful,blank,Post-course survey,None,integer 1-10,Verify exact anchors in current REDCap instrument,needs_review
reminders_post_v2_b080b4___1,Reminder preference not interested,Checkbox for not interested in additional learning resources or reminders,Post-course reminder preference checkbox,categorical,,0|1,0 = Unchecked | 1 = Checked,blank,Post-course survey,None,must be 0 or 1,Restricted row-level preference,needs_review
reminders_post_v2_b080b4___2,Reminder preference Anki,Checkbox for Anki flashcard deck preference,Post-course reminder preference checkbox,categorical,,0|1,0 = Unchecked | 1 = Checked,blank,Post-course survey,None,must be 0 or 1,Restricted row-level preference,needs_review
reminders_post_v2_b080b4___3,Reminder preference email,Checkbox for newsletter/email reminder preference,Post-course reminder preference checkbox,categorical,,0|1,0 = Unchecked | 1 = Checked,blank,Post-course survey,None,must be 0 or 1,Restricted row-level preference,needs_review
reminders_post_v2_b080b4___4,Reminder preference text snippets,Checkbox for text-delivered snippet preference,Post-course reminder preference checkbox,categorical,,0|1,0 = Unchecked | 1 = Checked,blank,Post-course survey,None,must be 0 or 1,Restricted row-level preference,needs_review
reminders_free_post_v2_709a86,Reminder free text,Free-text ideas for ongoing reminders or additional resources,Open-ended post-course response,string,,,,blank,Post-course survey,None,string,Restricted free text; do not commit row-level content,reviewed
postsurvey_2_complete,Post-survey complete flag,REDCap completion flag,Completion status for post-course survey,categorical,,0|1|2,0 = Incomplete | 1 = Unverified | 2 = Complete,blank,REDCap export,None,must be one of 0,1,2,Verify REDCap completion coding,needs_review
change_con_code,Change in code confidence,Post minus pre code confidence,Derived change score used in evaluation analysis,numeric,points,negative to positive numeric,,blank,analysis.qmd,con_code_post_v2_1ae769 minus pre_con_code_v2,numeric only,Derived from restricted row-level responses,needs_review
change_con_rapid,Change in rapid response confidence,Post minus pre rapid-response confidence,Derived change score used in evaluation analysis,numeric,points,negative to positive numeric,,blank,analysis.qmd,con_rapid_post_v2_2b1eb4 minus pre_con_rapid_v2,numeric only,Derived from restricted row-level responses,needs_review
change_con_rhythm,Change in rhythm confidence,Post minus pre rhythm/shock confidence,Derived change score used in evaluation analysis,numeric,points,negative to positive numeric,,blank,analysis.qmd,post_con_shock_2 minus pre_con_shock,numeric only,Derived from restricted row-level responses,needs_review
change_attending,Change in attending call likelihood,Post minus pre attending-call likelihood,Derived change score used in evaluation analysis,numeric,points,negative to positive numeric,,blank,analysis.qmd,post_call_2 minus pre_call_v2,numeric only,Derived from restricted row-level responses,needs_review
change_team,Change in team-dynamics concern,Post minus pre team-dynamics concern,Derived change score used in evaluation analysis,numeric,points,negative to positive numeric,,blank,analysis.qmd,nerves_code_post_v2_38c320 minus pre_nerves_code_v2,numeric only,Interpretation depends on item direction,needs_review
