"Record ID","Survey Identifier","Survey Timestamp","Enter the first letter of your last name and the last 4 of your cell number. We will only use this to link your pre and post surveys.","Please select the appropriate survey to complete:",Complete?,"Survey Timestamp","Rate your confidence that you can reliably facilitate delivery standard of care resuscitation for an in-hospital cardiac arrest? (meaning, almost every time you lead a code, patients receive the standard of care)     1. Almost never, 5. sometimes, 10. almost always.","Rate your confidence that you can reliably facilitate delivery standard of care resuscitation for rapid response/MET? (meaning, almost every time you lead a rapid response/MET, patients receive the standard of care)     1. Almost never, 5. sometimes, 10. almost always.","Rate your confidence that you can interpret a rhythm strip and making a decision to provide appropriate standard of care? (monitoring, pacing, cardioversion, defibrillation, etc)     1. Almost never, 5. sometimes, 10. almost always.","How often do you think you'll have problems with team dynamics on Code Blue / Rapid Response teams?      1. Almost never, 5. sometimes, 10. almost always.","How likely are you to call for an attending to join you for a rapid response if one isn't already there?     1. Almost never, 5. sometimes, 10. almost always.","Roughly, how many code blues have you been to as an intern (best guess)?","Roughly, how many rapid responses/METs have you been to as an intern (best guess)? ","Have you led either a rapid response or a code blue as an intern? How many? ","How many times have you led a simulated/scenario code blue or rapid response in training? ","Have you been involved in the decision to urgently/emergently cardiovert a patient?","2 minute pulse check shows the above image. What is the next step?","A patient on the floor experiences flash pulmonary edema. Oxygen needs go from 3L nasal cannula to 15L nonrebreather. What is the best next immediate step?","Bringing family in to observe an attempt at resuscitation has been shown to: [select all that apply] (choice=increase ROSC rate)","Bringing family in to observe an attempt at resuscitation has been shown to: [select all that apply] (choice=decrease ROSC rate)","Bringing family in to observe an attempt at resuscitation has been shown to: [select all that apply] (choice=increase PTSD in the family)","Bringing family in to observe an attempt at resuscitation has been shown to: [select all that apply] (choice=decrease PTSD in the family)",Complete?,"Survey Timestamp","Rate your confidence that you can reliably facilitate delivery standard of care resuscitation for an in-hospital cardiac arrest? (meaning, almost every time you lead a code, patients receive the standard of care)    1. Almost never, 5. sometimes, 10. almost always.","Rate your confidence that you can reliably facilitate delivery standard of care resuscitation for rapid response/MET? (meaning, almost every time you lead a rapid response/MET, patients receive the standard of care)    1. Almost never, 5. sometimes, 10. almost always.","Rate your confidence that you can interpret a rhythm strip and making a decision to provide appropriate standard of care? (monitoring, pacing, cardioversion, defibrillation, etc)    1. Almost never, 5. sometimes, 10. almost always.","How often do you think you'll have problems with team dynamics on Code Blue / Rapid Response teams?      1. Almost never, 5. sometimes, 10. almost always.","How likely are you to call for an attending to join you for a rapid response if one isn't already there?    1. Almost never, 5. sometimes, 10. almost always.","On a scale of 1-10, how helpful were the modules in reinforcing clinical concepts related to leadership and management of rapids and codes?     1. Almost never, 5. sometimes always, 10. almost always","On a scale of 1-10, how helpful were the cases in reinforcing clinical concepts related to leadership and management of rapids and codes?    1. Almost never, 5. sometimes, 10. almost always.","On a scale of 1-10, how helpful was the informal discussion in reinforcing clinical concepts related to leadership and management of rapids and codes?    1. Almost never, 5. sometimes, 10. almost always.","Would you be interested in receiving additional learning resources and/or periodic reminders related to running code blues / RRTs? If so, which is most appealing:  (choice=Not interested)","Would you be interested in receiving additional learning resources and/or periodic reminders related to running code blues / RRTs? If so, which is most appealing:  (choice=Anki flashcard deck with high yield facts)","Would you be interested in receiving additional learning resources and/or periodic reminders related to running code blues / RRTs? If so, which is most appealing:  (choice=Newsletter style reminders delivered by email)","Would you be interested in receiving additional learning resources and/or periodic reminders related to running code blues / RRTs? If so, which is most appealing:  (choice=Text-delivered snippets at start of ward rotations.)","If you have ideas for ongoing reminders or additional resources not listed above, list them here:",Complete?
20,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
21,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
22,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
23,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
24,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
25,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
26,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
27,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
28,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
29,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
30,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
31,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
32,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
33,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
34,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
35,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
36,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
37,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
38,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
39,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
40,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
41,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
42,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
43,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
44,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
45,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
46,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
47,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
48,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
49,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
50,,"2025-05-08 10:56:39",Xxx,Pre-Survey,Complete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
51,,"2025-05-08 10:57:15",yyyyy,Pre-Survey,Complete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
52,,"2025-05-08 12:57:35",xxxx,Pre-Survey,Complete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
53,,"2025-05-08 14:36:31",M7149,Pre-Survey,Complete,"2025-05-08 14:38:05",1,5,3,3,2,1,15,6,2,Yes,"Resume compressions","move immediately to the unit",Unchecked,Unchecked,Checked,Unchecked,Complete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
54,,"2025-05-08 14:36:35",B4019,Pre-Survey,Complete,"2025-05-08 14:39:02",7,7,7,5,3,4,15,"Yes, 5 RR",3,Yes,Defibrillate,"call the ICU team",Unchecked,Unchecked,Checked,Unchecked,Complete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
55,,"2025-05-08 14:36:35",R4466,Pre-Survey,Complete,"2025-05-08 14:39:07",7,8,5,2,4,1,10,2,5,No,Defibrillate,"start patient on bipap",Checked,Unchecked,Unchecked,Checked,Complete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
56,,"2025-05-08 14:36:37",M1145,Pre-Survey,Complete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
57,,"2025-05-08 14:36:48",M1145,Pre-Survey,Complete,"2025-05-08 14:39:46",3,7,8,3,4,10,30,8,3,No,"Resume compressions","move immediately to the unit",Unchecked,Unchecked,Unchecked,Checked,Complete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
58,,"2025-05-08 14:37:26",l5606,Pre-Survey,Complete,"2025-05-08 14:42:09",5,5,7,5,5,5,20,1,5,No,"Resume compressions","start patient on bipap",Unchecked,Unchecked,Checked,Unchecked,Complete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
59,,"2025-05-08 14:39:32",F3400,Pre-Survey,Complete,"2025-05-08 14:42:50",2,4,2,4,3,0,15,1,1,No,"Resume compressions","start patient on bipap",Unchecked,Unchecked,Unchecked,Checked,Complete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
60,,"2025-05-08 16:29:00",B4019,Post-Survey,Complete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,"2025-05-08 16:29:54",8,8,8,3,3,7,8,8,Unchecked,Unchecked,Checked,Unchecked,,Complete
61,,"2025-05-15 14:15:53",J3331,Pre-Survey,Complete,"2025-05-15 14:20:05",3,5,8,4,5,3,15,0,0,No,"Resume compressions","move immediately to the unit",Unchecked,Checked,Checked,Unchecked,Complete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
62,,"2025-05-15 14:16:10",G0675,Pre-Survey,Complete,"2025-05-15 14:20:17",5,7,7,9,4,4,~15,"5 rapids, 0 codes",~5,Yes,Defibrillate,"start patient on bipap",Checked,Unchecked,Unchecked,Checked,Complete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
63,,"2025-05-15 14:16:11",A1184,Pre-Survey,Complete,"2025-05-15 14:18:37",4,4,4,3,3,2,8,0,0,No,"Resume compressions","call the ICU team",Unchecked,Checked,Checked,Unchecked,Complete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
64,,"2025-05-15 14:16:21",G8087,Pre-Survey,Complete,"2025-05-15 14:19:03",6,4,4,5,9,7,15,"Yes, 4 rapids but no codes",Once,No,"Resume compressions","call the ICU team",Unchecked,Unchecked,Unchecked,Checked,Complete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
65,,"2025-05-15 14:16:38",D0695,Pre-Survey,Complete,"2025-05-15 14:19:07",5,6,6,5,3,3,10,0,0,No,Defibrillate,"start patient on bipap",Unchecked,Unchecked,Checked,Unchecked,Complete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
66,,"2025-05-15 14:18:10",F6283,Pre-Survey,Complete,"2025-05-15 14:20:14",4,6,5,4,5,3,12,5,2,No,"Resume compressions","start patient on bipap",Unchecked,Unchecked,Unchecked,Checked,Complete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
67,,"2025-05-15 16:20:16",D0695,Post-Survey,Complete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,"2025-05-15 16:21:24",7,7,6,5,3,6,8,7,Unchecked,Unchecked,Unchecked,Checked,,Complete
68,,"2025-05-15 16:20:27",G0675,Post-Survey,Complete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,"2025-05-15 17:12:30",7,8,7,4,3,8,10,10,Unchecked,Unchecked,Checked,Checked,,Complete
69,,"2025-05-15 16:21:25",J3331,Post-Survey,Complete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,"2025-05-15 16:28:51",6,7,8,9,3,8,8,8,Unchecked,Checked,Checked,Checked,,Complete
70,,"[not completed]",F6283,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
71,,"2025-05-15 16:29:01",F6283,Post-Survey,Complete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
72,,"2025-05-15 16:29:03",A1184,Post-Survey,Complete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,"2025-05-15 16:30:35",5,5,6,2,2,8,8,8,Unchecked,Checked,Checked,Unchecked,,Complete
73,,"2025-05-15 16:29:15",g8087,Post-Survey,Complete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,"2025-05-15 18:50:22",5,5,6,4,10,7,9,7,Unchecked,Checked,Checked,Unchecked,,Complete
74,,"2025-05-20 10:48:08",S8893,Pre-Survey,Complete,"2025-05-20 10:53:45",5,5,4,3,3,4,9,"yes, 2",1,No,"Resume compressions","call the ICU team",Unchecked,Unchecked,Unchecked,Checked,Complete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
75,,"2025-05-20 12:24:45",S8893,Post-Survey,Complete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,"2025-05-20 12:26:07",7,7,7,2,3,8,8,7,Unchecked,Unchecked,Checked,Checked,,Complete
76,,"2025-05-22 14:30:07",G8879,Pre-Survey,Complete,"2025-05-22 14:32:05",5,6,8,5,3,2,10,"Led ~ 5 rapids",1,No,"Resume compressions","start patient on bipap",Unchecked,Unchecked,Unchecked,Checked,Complete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
77,,"2025-05-22 14:30:14",M5075,Pre-Survey,Complete,"2025-05-22 14:33:18",6,6,7,5,3,3,30,8,2,No,"Resume compressions","call the ICU team",Unchecked,Unchecked,Unchecked,Checked,Complete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
78,,"2025-05-22 14:30:15",C5096,Pre-Survey,Complete,"2025-05-22 14:32:18",2,3,6,6,1,5,15,1,2,No,Defibrillate,"move immediately to the unit",Unchecked,Checked,Unchecked,Checked,Complete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
79,,"2025-05-22 14:30:18",B4221,Pre-Survey,Complete,"2025-05-22 14:32:06",2,7,2,5,4,1,12,4,1,No,"Resume compressions","start patient on bipap",Unchecked,Checked,Checked,Unchecked,Complete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
80,,"2025-05-22 14:30:21",T6198,Pre-Survey,Complete,"2025-05-22 14:33:28",3,5,6,3,3,1,8,0,3,No,Defibrillate,"start patient on bipap",Unchecked,Unchecked,Unchecked,Checked,Complete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
81,,"2025-05-22 14:30:27",S2807,Pre-Survey,Complete,"2025-05-22 14:33:49",5,7,6,6,2,4,8,2,3,No,"Resume compressions","call the ICU team",Unchecked,Unchecked,Unchecked,Checked,Complete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
82,,"2025-05-22 14:30:57",L9099,Pre-Survey,Complete,"2025-05-22 14:32:46",4,5,5,8,3,2,12,"1-3 rapids ",1,Yes,"Resume compressions","call the ICU team",Unchecked,Unchecked,Unchecked,Checked,Complete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
83,,"2025-05-22 16:20:53",B4221,Post-Survey,Complete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,"2025-05-22 16:21:44",7,7,6,5,4,9,9,9,Unchecked,Checked,Checked,Checked,"This was a great lecture ",Complete
84,,"2025-05-22 16:24:51",G8879,Post-Survey,Complete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,"2025-05-22 16:26:11",8,8,7,5,4,9,8,9,Unchecked,Unchecked,Unchecked,Checked,,Complete
85,,"2025-05-22 16:24:56",M5075,Post-Survey,Complete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,"2025-05-22 16:27:15",7,7,8,2,2,8,8,8,Unchecked,Unchecked,Unchecked,Checked,,Complete
86,,"2025-05-22 16:24:57",C5096,Post-Survey,Complete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,"2025-05-22 16:25:59",5,5,8,8,1,10,10,10,Unchecked,Unchecked,Unchecked,Checked,,Complete
87,,"2025-05-22 16:24:58",s2807,Post-Survey,Complete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,"2025-05-22 16:26:28",8,9,9,3,1,9,7,8,Unchecked,Checked,Unchecked,Checked,,Complete
88,,"2025-05-22 16:24:59",L9099,Post-Survey,Complete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,"2025-05-22 16:26:24",5,6,7,5,5,8,9,7,Unchecked,Checked,Unchecked,Checked,,Complete
89,,"2025-05-22 16:25:03",t6198,Post-Survey,Complete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
90,,"2025-05-29 14:24:26",S5625,Pre-Survey,Complete,"2025-05-29 14:26:58",5,7,7,4,6,3,10,"Led 2 RR, no codes","At least 3-4",No,"Resume compressions","call the ICU team",Unchecked,Unchecked,Unchecked,Checked,Complete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
