record_id,redcap_survey_identifier,intro_2_timestamp,identifier_v2,intro_variable_v2,intro_2_complete,presurvey_2_timestamp,pre_con_code_v2,pre_con_rapid_v2,pre_con_shock,pre_nerves_code_v2,pre_call_v2,pre_number_codes_v2,pre_number_rapids_v2,pre_leading_v2,pre_sims_v2,pre_interpret_v2,pre_rhythm_v2,pre_resources_v2,pre_ptsd_v2___1,pre_ptsd_v2___2,pre_ptsd_v2___3,pre_ptsd_v2___4,presurvey_2_complete,postsurvey_2_timestamp,con_code_post_v2_1ae769,con_rapid_post_v2_2b1eb4,post_con_shock_2,nerves_code_post_v2_38c320,post_call_2,post_cases_soft,post_cases_rhythm,post_cases_discuss,reminders_post_v2_b080b4___1,reminders_post_v2_b080b4___2,reminders_post_v2_b080b4___3,reminders_post_v2_b080b4___4,reminders_free_post_v2_709a86,postsurvey_2_complete
14,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
15,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
16,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
17,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
18,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
19,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
20,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
21,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
22,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
23,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
24,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
25,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
26,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
27,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
28,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
29,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
30,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
31,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
32,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
33,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
34,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
35,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
36,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
37,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
38,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
39,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
40,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
41,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
42,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
43,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
44,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
45,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
46,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
47,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
48,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
49,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
50,,"2025-05-08 10:56:39",Xxx,1,2,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
51,,"2025-05-08 10:57:15",yyyyy,1,2,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
52,,"2025-05-08 12:57:35",xxxx,1,2,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
53,,"2025-05-08 14:36:31",M7149,1,2,"2025-05-08 14:38:05",1,5,3,3,2,1,15,6,2,1,4,4,0,0,1,0,2,,,,,,,,,,0,0,0,0,,0
54,,"2025-05-08 14:36:35",B4019,1,2,"2025-05-08 14:39:02",7,7,7,5,3,4,15,"Yes, 5 RR",3,1,2,1,0,0,1,0,2,,,,,,,,,,0,0,0,0,,0
55,,"2025-05-08 14:36:35",R4466,1,2,"2025-05-08 14:39:07",7,8,5,2,4,1,10,2,5,0,2,3,1,0,0,1,2,,,,,,,,,,0,0,0,0,,0
56,,"2025-05-08 14:36:37",M1145,1,2,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
57,,"2025-05-08 14:36:48",M1145,1,2,"2025-05-08 14:39:46",3,7,8,3,4,10,30,8,3,0,4,4,0,0,0,1,2,,,,,,,,,,0,0,0,0,,0
58,,"2025-05-08 14:37:26",l5606,1,2,"2025-05-08 14:42:09",5,5,7,5,5,5,20,1,5,0,4,3,0,0,1,0,2,,,,,,,,,,0,0,0,0,,0
59,,"2025-05-08 14:39:32",F3400,1,2,"2025-05-08 14:42:50",2,4,2,4,3,0,15,1,1,0,4,3,0,0,0,1,2,,,,,,,,,,0,0,0,0,,0
60,,"2025-05-08 16:29:00",B4019,2,2,,,,,,,,,,,,,,0,0,0,0,0,"2025-05-08 16:29:54",8,8,8,3,3,7,8,8,0,0,1,0,,2
61,,"2025-05-15 14:15:53",J3331,1,2,"2025-05-15 14:20:05",3,5,8,4,5,3,15,0,0,0,4,4,0,1,1,0,2,,,,,,,,,,0,0,0,0,,0
62,,"2025-05-15 14:16:10",G0675,1,2,"2025-05-15 14:20:17",5,7,7,9,4,4,~15,"5 rapids, 0 codes",~5,1,2,3,1,0,0,1,2,,,,,,,,,,0,0,0,0,,0
63,,"2025-05-15 14:16:11",A1184,1,2,"2025-05-15 14:18:37",4,4,4,3,3,2,8,0,0,0,4,1,0,1,1,0,2,,,,,,,,,,0,0,0,0,,0
64,,"2025-05-15 14:16:21",G8087,1,2,"2025-05-15 14:19:03",6,4,4,5,9,7,15,"Yes, 4 rapids but no codes",Once,0,4,1,0,0,0,1,2,,,,,,,,,,0,0,0,0,,0
65,,"2025-05-15 14:16:38",D0695,1,2,"2025-05-15 14:19:07",5,6,6,5,3,3,10,0,0,0,2,3,0,0,1,0,2,,,,,,,,,,0,0,0,0,,0
66,,"2025-05-15 14:18:10",F6283,1,2,"2025-05-15 14:20:14",4,6,5,4,5,3,12,5,2,0,4,3,0,0,0,1,2,,,,,,,,,,0,0,0,0,,0
67,,"2025-05-15 16:20:16",D0695,2,2,,,,,,,,,,,,,,0,0,0,0,0,"2025-05-15 16:21:24",7,7,6,5,3,6,8,7,0,0,0,1,,2
68,,"2025-05-15 16:20:27",G0675,2,2,,,,,,,,,,,,,,0,0,0,0,0,"2025-05-15 17:12:30",7,8,7,4,3,8,10,10,0,0,1,1,,2
69,,"2025-05-15 16:21:25",J3331,2,2,,,,,,,,,,,,,,0,0,0,0,0,"2025-05-15 16:28:51",6,7,8,9,3,8,8,8,0,1,1,1,,2
70,,"[not completed]",F6283,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
71,,"2025-05-15 16:29:01",F6283,2,2,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
72,,"2025-05-15 16:29:03",A1184,2,2,,,,,,,,,,,,,,0,0,0,0,0,"2025-05-15 16:30:35",5,5,6,2,2,8,8,8,0,1,1,0,,2
73,,"2025-05-15 16:29:15",g8087,2,2,,,,,,,,,,,,,,0,0,0,0,0,"2025-05-15 18:50:22",5,5,6,4,10,7,9,7,0,1,1,0,,2
74,,"2025-05-20 10:48:08",S8893,1,2,"2025-05-20 10:53:45",5,5,4,3,3,4,9,"yes, 2",1,0,4,1,0,0,0,1,2,,,,,,,,,,0,0,0,0,,0
75,,"2025-05-20 12:24:45",S8893,2,2,,,,,,,,,,,,,,0,0,0,0,0,"2025-05-20 12:26:07",7,7,7,2,3,8,8,7,0,0,1,1,,2
76,,"2025-05-22 14:30:07",G8879,1,2,"2025-05-22 14:32:05",5,6,8,5,3,2,10,"Led ~ 5 rapids",1,0,4,3,0,0,0,1,2,,,,,,,,,,0,0,0,0,,0
77,,"2025-05-22 14:30:14",M5075,1,2,"2025-05-22 14:33:18",6,6,7,5,3,3,30,8,2,0,4,1,0,0,0,1,2,,,,,,,,,,0,0,0,0,,0
78,,"2025-05-22 14:30:15",C5096,1,2,"2025-05-22 14:32:18",2,3,6,6,1,5,15,1,2,0,2,4,0,1,0,1,2,,,,,,,,,,0,0,0,0,,0
79,,"2025-05-22 14:30:18",B4221,1,2,"2025-05-22 14:32:06",2,7,2,5,4,1,12,4,1,0,4,3,0,1,1,0,2,,,,,,,,,,0,0,0,0,,0
80,,"2025-05-22 14:30:21",T6198,1,2,"2025-05-22 14:33:28",3,5,6,3,3,1,8,0,3,0,2,3,0,0,0,1,2,,,,,,,,,,0,0,0,0,,0
81,,"2025-05-22 14:30:27",S2807,1,2,"2025-05-22 14:33:49",5,7,6,6,2,4,8,2,3,0,4,1,0,0,0,1,2,,,,,,,,,,0,0,0,0,,0
82,,"2025-05-22 14:30:57",L9099,1,2,"2025-05-22 14:32:46",4,5,5,8,3,2,12,"1-3 rapids ",1,1,4,1,0,0,0,1,2,,,,,,,,,,0,0,0,0,,0
83,,"2025-05-22 16:20:53",B4221,2,2,,,,,,,,,,,,,,0,0,0,0,0,"2025-05-22 16:21:44",7,7,6,5,4,9,9,9,0,1,1,1,"This was a great lecture ",2
84,,"2025-05-22 16:24:51",G8879,2,2,,,,,,,,,,,,,,0,0,0,0,0,"2025-05-22 16:26:11",8,8,7,5,4,9,8,9,0,0,0,1,,2
85,,"2025-05-22 16:24:56",M5075,2,2,,,,,,,,,,,,,,0,0,0,0,0,"2025-05-22 16:27:15",7,7,8,2,2,8,8,8,0,0,0,1,,2
86,,"2025-05-22 16:24:57",C5096,2,2,,,,,,,,,,,,,,0,0,0,0,0,"2025-05-22 16:25:59",5,5,8,8,1,10,10,10,0,0,0,1,,2
87,,"2025-05-22 16:24:58",s2807,2,2,,,,,,,,,,,,,,0,0,0,0,0,"2025-05-22 16:26:28",8,9,9,3,1,9,7,8,0,1,0,1,,2
88,,"2025-05-22 16:24:59",L9099,2,2,,,,,,,,,,,,,,0,0,0,0,0,"2025-05-22 16:26:24",5,6,7,5,5,8,9,7,0,1,0,1,,2
89,,"2025-05-22 16:25:03",t6198,2,2,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
90,,"2025-05-29 14:24:26",S5625,1,2,"2025-05-29 14:26:58",5,7,7,4,6,3,10,"Led 2 RR, no codes","At least 3-4",0,4,1,0,0,0,1,2,,,,,,,,,,0,0,0,0,,0
91,,"2025-05-29 14:24:42",M3814,1,2,"2025-05-29 14:26:29",3,5,5,5,9,1,10,5,1,1,4,1,0,0,1,0,2,,,,,,,,,,0,0,0,0,,0
92,,"2025-05-29 14:24:44",D4268,1,2,"2025-05-29 14:27:10",3,4,4,6,7,1,7,"Yes, 2",0,0,2,4,0,1,1,0,2,,,,,,,,,,0,0,0,0,,0
93,,"2025-05-29 14:24:50",W02002,1,2,"2025-05-29 14:27:20",2,3,3,5,5,2,4,No,1,0,4,3,0,0,0,1,2,,,,,,,,,,0,0,0,0,,0
94,,"2025-05-29 14:24:55",M6411,1,2,"2025-05-29 14:27:13",5,5,8,2,3,3,20,0,0,1,4,3,0,1,1,0,2,,,,,,,,,,0,0,0,0,,0
95,,"2025-05-29 14:25:18",S3450,1,2,"2025-05-29 14:29:14",5,8,5,4,3,5,30,2,0,0,4,3,0,0,0,1,2,,,,,,,,,,0,0,0,0,,0
96,,"2025-05-29 14:25:42",Alan,1,2,"2025-05-29 14:29:48",6,5,5,5,5,1,5,1,Q,0,4,4,0,0,1,0,2,,,,,,,,,,0,0,0,0,,0
97,,"2025-05-29 14:27:13",Pitt8657,1,2,"2025-05-29 14:29:37",3,5,3,7,3,2,20,5,0,1,4,3,0,0,1,0,2,,,,,,,,,,0,0,0,0,,0
98,,"2025-05-29 16:25:16",S5625,2,2,,,,,,,,,,,,,,0,0,0,0,0,"2025-05-29 16:27:03",7,8,7,5,6,10,10,10,0,1,0,1,,2
99,,"2025-05-29 16:25:21",Pitt8657,2,2,,,,,,,,,,,,,,0,0,0,0,0,"2025-05-29 16:29:13",5,5,6,8,6,8,7,4,0,0,1,1,,2
100,,"2025-05-29 16:25:26",c3814,2,2,,,,,,,,,,,,,,0,0,0,0,0,"2025-05-29 16:27:06",7,6,7,7,6,8,8,8,0,0,1,0,,2
101,,"2025-05-29 16:25:26",Mw0220,2,2,,,,,,,,,,,,,,0,0,0,0,0,"2025-05-29 16:27:27",7,7,7,5,3,8,8,8,0,1,1,1,,2
102,,"2025-05-29 16:25:27",S3450,2,2,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
103,,"2025-05-29 16:25:32",D4268,2,2,,,,,,,,,,,,,,0,0,0,0,0,"2025-05-29 16:28:49",8,8,8,3,4,10,10,10,0,0,1,1,,2
104,,"2025-05-29 16:26:06",M6411,2,2,,,,,,,,,,,,,,0,0,0,0,0,"2025-05-29 16:29:25",8,8,8,8,3,10,8,10,0,0,1,0,,2
105,,"2025-06-05 14:31:15",H1619,1,2,"2025-06-05 14:34:52",6,7,6,5,6,6,15,3,2,0,4,3,0,1,1,0,2,,,,,,,,,,0,0,0,0,,0
106,,"2025-06-05 14:31:22",R9991,1,2,"2025-06-05 14:34:09",2,3,4,5,4,0,30,1,1,1,2,3,0,1,1,0,2,,,,,,,,,,0,0,0,0,,0
107,,"2025-06-05 14:31:35",Q2614,1,2,"2025-06-05 14:33:27",6,4,4,6,5,2,30,0,3,0,4,1,0,0,0,1,2,,,,,,,,,,0,0,0,0,,0
108,,"2025-06-05 14:31:38",B5084,1,2,"2025-06-05 14:34:07",5,6,6,4,2,3,15,2,1,0,2,3,0,0,0,1,2,,,,,,,,,,0,0,0,0,,0
109,,"2025-06-05 14:31:41",J3180,1,2,"2025-06-05 14:34:54",5,5,5,3,10,5,10,2,0,0,2,2,0,0,1,0,2,,,,,,,,,,0,0,0,0,,0
110,,"2025-06-05 14:32:42",S3369,1,2,"2025-06-05 14:34:50",1,2,6,2,7,3,20,"yes, 5",1,0,2,4,0,0,0,1,2,,,,,,,,,,0,0,0,0,,0
111,,"2025-06-05 16:08:52",H1619,2,2,,,,,,,,,,,,,,0,0,0,0,0,"2025-06-05 17:01:23",8,9,9,4,5,10,10,10,0,1,0,0,,2
112,,"2025-06-05 16:08:44",B5084,2,2,,,,,,,,,,,,,,0,0,0,0,0,"2025-06-05 16:10:00",8,8,8,3,3,10,10,10,0,1,0,1,,2
113,,"2025-06-05 16:08:46",Q2614,2,2,,,,,,,,,,,,,,0,0,0,0,0,"2025-06-05 16:10:15",7,6,7,6,5,9,9,10,0,1,1,1,,2
114,,"2025-06-05 16:08:46",R9991,2,2,,,,,,,,,,,,,,0,0,0,0,0,"2025-06-05 16:10:11",4,5,5,4,5,9,9,9,0,0,1,0,,2
115,,"2025-06-05 16:08:49",S3369,2,2,,,,,,,,,,,,,,0,0,0,0,0,"2025-06-05 16:09:51",7,6,7,3,9,7,7,7,0,0,0,1,,2
